date,change_ratio
2022/5/20,221.20%
2022/5/19,216.30%
2022/5/18,206.60%
2022/5/17,197.60%
2022/5/16,198.90%
2022/5/13,202.50%
2022/5/12,207.70%
2022/5/11,201.30%
2022/5/10,190.10%
2022/5/9,190.70%
2022/5/6,175.90%
2022/5/5,168.40%
2022/5/4,152.30%
2022/5/3,144.90%
2022/4/29,163.30%
2022/4/28,170.30%
2022/4/27,172.80%
2022/4/26,170.40%
2022/4/25,171.10%
2022/4/22,192.00%
2022/4/21,183.40%
2022/4/20,171.10%
2022/4/19,167.70%
2022/4/14,194.40%
2022/4/13,184.80%
2022/4/12,180.30%
2022/4/11,179.00%
2022/4/8,187.80%
2022/4/7,189.90%
2022/4/6,199.30%
2022/4/5,211.30%
2022/4/4,230.00%
2022/4/1,244.10%
2022/3/31,242.20%
2022/3/30,243.80%
2022/3/29,250.80%
2022/3/28,259.00%
2022/3/25,269.20%
2022/3/24,272.00%
2022/3/23,273.20%
2022/3/22,269.00%
2022/3/21,272.50%
2022/3/18,261.30%
2022/3/17,254.50%
2022/3/16,254.90%
2022/3/15,268.40%
2022/3/14,302.80%
2022/3/11,321.40%
2022/3/10,316.60%
2022/3/9,294.10%
2022/3/8,262.40%
2022/3/7,240.20%
2022/3/4,221.10%
2022/3/3,216.90%
2022/3/2,221.80%
2022/3/1,211.60%
2022/2/28,210.00%
2022/2/25,225.90%
2022/2/24,245.00%
2022/2/23,253.90%
2022/2/22,238.80%
2022/2/21,224.60%
2022/2/18,205.40%
2022/2/17,195.10%
2022/2/16,196.70%
2022/2/15,208.00%
2022/2/14,215.90%
2022/2/11,232.30%
2022/2/10,222.80%
2022/2/9,184.70%
2022/2/8,150.10%
2022/2/7,133.10%
2022/2/4,124.40%
2022/2/3,120.90%
2022/2/2,120.00%
2022/2/1,123.30%
2022/1/31,112.30%
2022/1/28,62.09%
2022/1/27,43.87%
2022/1/26,43.20%
2022/1/25,48.40%
2022/1/24,48.14%
2022/1/21,29.58%
2022/1/20,32.55%
2022/1/19,41.19%
2022/1/18,47.84%
2022/1/17,60.72%
2022/1/14,53.79%
2022/1/13,60.22%
2022/1/12,73.40%
2022/1/11,84.00%
2022/1/10,91.51%
2022/1/7,83.56%
2022/1/6,82.22%
2022/1/5,81.67%
2022/1/4,81.35%
2021/12/24,74.43%
2021/12/23,73.49%
2021/12/22,74.28%
2021/12/21,79.36%
2021/12/20,79.89%
2021/12/17,69.20%
2021/12/16,78.30%
2021/12/15,90.22%
2021/12/14,109.30%
2021/12/13,135.60%
2021/12/10,136.20%
2021/12/9,143.70%
2021/12/8,149.50%
2021/12/7,144.30%
2021/12/6,141.60%
2021/12/3,163.60%
2021/12/2,153.00%
2021/12/1,147.50%
2021/11/30,145.20%
2021/11/29,124.90%
2021/11/26,127.40%
2021/11/25,145.00%
2021/11/24,142.80%
2021/11/23,148.40%
2021/11/22,159.80%
2021/11/19,149.50%
2021/11/18,138.00%
2021/11/17,135.70%
2021/11/16,151.30%
2021/11/15,170.50%
2021/11/12,149.50%
2021/11/11,148.00%
2021/11/10,149.40%
2021/11/9,144.60%
2021/11/8,120.80%
2021/11/5,90.13%
2021/11/4,90.05%
2021/11/3,98.49%
2021/11/2,118.70%
2021/11/1,133.20%
2021/10/29,131.20%
2021/10/28,139.00%
2021/10/27,150.70%
2021/10/26,167.00%
2021/10/25,180.80%
2021/10/22,179.30%
2021/10/21,195.20%
2021/10/20,201.50%
2021/10/19,199.10%
2021/10/18,202.40%
2021/10/15,206.40%
2021/10/14,220.60%
2021/10/13,229.70%
2021/10/12,240.60%
2021/10/11,262.20%
2021/10/8,261.20%
2021/10/7,267.80%
2021/10/6,267.60%
2021/10/5,252.10%
2021/10/4,238.90%
2021/10/1,234.50%
2021/9/30,235.50%
2021/9/29,237.50%
2021/9/28,222.20%
2021/9/27,209.50%
2021/9/24,223.80%
2021/9/23,229.20%
2021/9/22,222.70%
2021/9/21,212.10%
2021/9/20,208.30%
2021/9/17,215.00%
2021/9/16,208.60%
2021/9/15,209.90%
2021/9/14,209.00%
2021/9/13,201.20%
2021/9/10,160.70%
2021/9/9,144.50%
2021/9/8,142.80%
2021/9/7,148.80%
2021/9/6,157.50%
2021/9/3,153.30%
2021/9/2,153.40%
2021/9/1,154.10%
2021/8/31,161.70%
2021/8/27,149.60%
2021/8/26,147.20%
2021/8/25,147.10%
2021/8/24,147.60%
2021/8/23,142.70%
2021/8/20,136.90%
2021/8/19,130.80%
2021/8/18,122.50%
2021/8/17,112.20%
2021/8/16,109.70%
2021/8/13,108.70%
2021/8/12,107.20%
2021/8/11,101.70%
2021/8/10,99.59%
2021/8/9,99.00%
2021/8/6,90.13%
2021/8/5,90.41%
2021/8/4,87.14%
2021/8/3,85.05%
2021/8/2,86.90%
2021/7/30,93.31%
2021/7/29,88.17%
2021/7/28,84.66%
2021/7/27,85.36%
2021/7/26,81.15%
2021/7/23,86.20%
2021/7/22,83.72%
2021/7/21,81.05%
2021/7/20,80.76%
2021/7/19,84.61%
2021/7/16,76.58%
2021/7/15,84.45%
2021/7/14,88.42%
2021/7/13,93.76%
2021/7/12,102.20%
2021/7/9,105.10%
2021/7/8,102.30%
2021/7/7,99.82%
2021/7/6,95.99%
2021/7/5,100.00%
2021/7/2,131.00%
2021/7/1,141.00%
2021/6/30,144.30%
2021/6/29,146.80%
2021/6/28,150.10%
2021/6/25,144.20%
2021/6/24,136.80%
2021/6/23,134.70%
2021/6/22,132.60%
2021/6/21,136.80%
2021/6/18,123.20%
2021/6/17,126.10%
2021/6/16,119.80%
2021/6/15,109.30%
2021/6/14,105.40%
2021/6/11,106.00%
2021/6/10,91.88%
2021/6/9,78.36%
2021/6/8,73.98%
2021/6/7,74.05%
2021/6/4,104.40%
2021/6/3,113.80%
2021/6/2,118.90%
2021/6/1,122.10%
2021/5/28,141.00%
2021/5/27,149.60%
2021/5/26,155.70%
2021/5/25,160.80%
2021/5/24,159.80%
2021/5/21,131.60%
2021/5/20,121.80%
2021/5/19,120.00%
2021/5/18,119.60%
2021/5/17,118.90%
2021/5/14,99.12%
2021/5/13,109.00%
2021/5/12,113.20%
2021/5/11,121.10%
2021/5/10,123.00%
2021/5/7,130.00%
2021/5/6,132.10%
2021/5/5,136.00%
2021/5/4,128.10%
2021/4/30,127.70%
2021/4/29,120.90%
2021/4/28,117.30%
2021/4/27,112.30%
2021/4/26,104.20%
2021/4/23,113.50%
2021/4/22,114.70%
2021/4/21,111.60%
2021/4/20,92.97%
2021/4/19,102.50%
2021/4/16,132.70%
2021/4/15,129.10%
2021/4/14,114.80%
2021/4/13,111.00%
2021/4/12,116.00%
2021/4/9,119.00%
2021/4/8,120.30%
2021/4/7,124.40%
2021/4/6,120.70%
2021/4/1,96.40%
2021/3/31,93.93%
2021/3/30,99.34%
2021/3/29,104.90%
2021/3/26,93.43%
2021/3/25,93.58%
2021/3/24,95.54%
2021/3/23,102.40%
2021/3/22,107.60%
2021/3/19,100.80%
2021/3/18,93.79%
2021/3/17,84.16%
2021/3/16,76.47%
2021/3/15,72.43%
2021/3/12,64.43%
2021/3/11,64.03%
2021/3/10,64.86%
2021/3/9,58.28%
2021/3/8,54.80%
2021/3/5,51.16%
2021/3/4,47.39%
2021/3/3,46.06%
2021/3/2,38.61%
2021/3/1,38.04%
2021/2/26,40.64%
2021/2/25,43.46%
2021/2/24,44.22%
2021/2/23,45.74%
2021/2/22,46.44%
2021/2/19,56.21%
2021/2/18,63.28%
2021/2/17,61.99%
2021/2/16,37.92%
2021/2/15,25.25%
2021/2/12,19.23%
2021/2/11,18.72%
2021/2/10,17.81%
2021/2/9,18.08%
2021/2/8,19.08%
2021/2/5,23.20%
2021/2/4,21.19%
2021/2/3,21.19%
2021/2/2,26.03%
2021/2/1,29.62%
2021/1/29,19.60%
2021/1/28,20.59%
2021/1/27,26.33%
2021/1/26,36.10%
2021/1/25,45.03%
2021/1/22,60.32%
2021/1/21,63.29%
2021/1/20,62.49%
2021/1/19,56.98%
2021/1/18,52.77%
2021/1/15,38.77%
2021/1/14,40.11%
2021/1/13,45.11%
2021/1/12,44.57%
2021/1/11,35.15%
2021/1/8,15.96%
2021/1/7,5.62%
2021/1/6,3.94%
2021/1/5,3.43%
2021/1/4,2.46%
2020/12/24,0.00%
2020/12/23,-0.29%
2020/12/22,-2.64%
2020/12/21,-7.48%
2020/12/18,-16.56%
2020/12/17,-19.64%
2020/12/16,-19.95%
2020/12/15,-21.37%
2020/12/14,-25.96%
2020/12/11,-29.88%
2020/12/10,-31.79%
2020/12/9,-34.08%
2020/12/8,-34.14%
2020/12/7,-30.79%
2020/12/4,-27.98%
2020/12/3,-26.88%
2020/12/2,-26.14%
2020/12/1,-25.52%
2020/11/30,-22.24%
2020/11/27,-16.72%
2020/11/26,-16.39%
2020/11/25,-17.90%
2020/11/24,-19.20%
2020/11/23,-19.10%
2020/11/20,-17.11%
2020/11/19,-17.29%
2020/11/18,-18.67%
2020/11/17,-18.89%
