Domain Code,Domain,Area,Element,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1961,1961,index,2,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1962,1962,index,1,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1963,1963,index,3,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1964,1964,index,5,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1965,1965,index,5,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1966,1966,index,7,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1967,1967,index,7,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1968,1968,index,3,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1969,1969,index,5,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1970,1970,index,5,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1971,1971,index,14,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1972,1972,index,8,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1973,1973,index,4,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1974,1974,index,3,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1975,1975,index,3,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1976,1976,index,3,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1977,1977,index,4,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1978,1978,index,4,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1979,1979,index,9,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1980,1980,index,4,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1981,1981,index,7,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1982,1982,index,8,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1983,1983,index,6,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1984,1984,index,5,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1985,1985,index,4,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1986,1986,index,9,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1987,1987,index,11,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1988,1988,index,10,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1989,1989,index,12,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1990,1990,index,12,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1991,1991,index,5,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1992,1992,index,7,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1993,1993,index,8,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1994,1994,index,6,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1995,1995,index,9,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1996,1996,index,8,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1997,1997,index,10,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1998,1998,index,7,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,1999,1999,index,11,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,2000,2000,index,35,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,2001,2001,index,44,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,2002,2002,index,39,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,2003,2003,index,33,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,2004,2004,index,33,Fc,Calculated data
TI,Trade Indices,Afghanistan,Import Quantity Index (2014-2016 = 100),Agricultural Products,2005,2005,index,45,Fc,Calculated data
