Domain,Area,Element,Item,Year,Unit,Value
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1961,index,22
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1962,index,24
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1963,index,28
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1964,index,30
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1965,index,32
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1966,index,45
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1967,index,43
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1968,index,48
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1969,index,52
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1970,index,46
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1971,index,48
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1972,index,62
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1973,index,62
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1974,index,71
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1975,index,80
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1976,index,88
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1977,index,72
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1978,index,72
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1979,index,68
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1980,index,69
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1981,index,66
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1982,index,55
Trade Indices,Afghanistan,Export Quantity Index (2014-2016 = 100),Agricultural Products,1983,index,61
